TestDataID,Rating
1,4.431029319763184
2,4.118962287902832
3,4.40485143661499
4,3.015230178833008
5,3.6113650798797607
6,3.4249627590179443
7,4.325484275817871
8,3.3205392360687256
9,3.327946901321411
10,3.0831105709075928
11,3.8655059337615967
12,3.8094656467437744
13,3.421449899673462
14,3.374293804168701
15,3.139918565750122
16,3.587608814239502
17,3.772228479385376
18,4.0061259269714355
19,4.0665178298950195
20,4.099973201751709
21,3.9708445072174072
22,4.285244941711426
23,3.6244425773620605
24,3.079723834991455
25,3.616680383682251
26,3.1127047538757324
27,3.4485840797424316
28,3.121248245239258
29,2.355168104171753
30,2.870175361633301
31,2.2330844402313232
32,3.149440288543701
33,3.812188148498535
34,2.864739418029785
35,4.09768009185791
36,4.275753974914551
37,3.631183385848999
38,2.5697598457336426
39,3.79887056350708
40,2.403656005859375
41,3.365532875061035
42,3.7971394062042236
43,2.684286117553711
44,4.347768306732178
45,3.7502336502075195
46,3.5551631450653076
47,3.3681631088256836
48,3.7717905044555664
49,3.926532030105591
50,3.761012315750122
51,3.6594536304473877
52,3.526322364807129
53,4.390786170959473
54,4.362761974334717
55,4.044823169708252
56,3.334770441055298
57,4.007477760314941
58,2.6977787017822266
59,3.967780828475952
60,3.4679315090179443
61,3.3177905082702637
62,4.098495006561279
63,4.229251861572266
64,4.026632308959961
65,4.479402542114258
66,3.727806568145752
67,3.9135794639587402
68,4.160845756530762
69,3.051095962524414
70,4.432772159576416
71,3.2480454444885254
72,4.636013031005859
73,3.123422861099243
74,4.184902191162109
75,2.682162284851074
76,2.652616262435913
77,4.212753772735596
78,4.256495475769043
79,4.410266876220703
80,4.350526809692383
81,4.528229713439941
82,4.250176429748535
83,3.957662582397461
84,4.196178436279297
85,4.769172191619873
86,3.9182028770446777
87,4.590433120727539
88,4.039359092712402
89,4.418869495391846
90,4.015753746032715
91,4.137027740478516
92,4.054765224456787
93,4.189627170562744
94,4.633142471313477
95,4.036028861999512
96,4.612393856048584
97,4.187197685241699
98,4.3199357986450195
99,4.508816719055176
100,4.327496528625488
101,3.9640581607818604
102,4.1469292640686035
